lemma,grammar_gloss,meaning_en,meaning_pl,source,universe,etymology_languages,etymology_words,example_wen,example_wen_source,info
"abonamię, -tu","n. -mię, -miętu",subscription,abonament,dictionary_steenbergen,any,french,abonnement,,,
abonat,m,subscriber,abonent,dictionary_steenbergen,any,french,abonné,,,
absoluty,adj,absolute,absolutny,dictionary_steenbergen,any,latin_learned,absolutum + is,,,
absurd,n,absurdity,absurd,dictionary_steenbergen,any,latin_learned,absurdum,,,
administraceń,f,administration,administracja,dictionary_steenbergen,any,latin_learned,administrationem,,,
administraciwy,adj,administrative,administracyjny,dictionary_steenbergen,any,latin_learned,administrativum + is,,,
adres,m,address,adres,dictionary_steenbergen,any,,,,,
afera,f. I,affair,afera,dictionary_steenbergen,any,,,,,
afisz,n,"poster, bill","afisz, plakat",dictionary_steenbergen,any,french,affiche,,,
afrykany,adj,African,afrykański,dictionary_steenbergen,any,,,,,
akademia,f. I,academy,akademia,dictionary_steenbergen,any,,,,,
akademicy,adj,academic,akademiczny,dictionary_steenbergen,any,,,,,
akcent,n,"accent, stress",akcent,dictionary_steenbergen,any,,,,,
akordeon,m,accordeon,akordeon,dictionary_steenbergen,any,,,,,
akrobat,m,acrobate,akrobat,dictionary_steenbergen,any,,,,,
aktórz,m,actor,aktor,dictionary_steenbergen,any,,,,,
aktrzyca,f. I,actress,aktorka,dictionary_steenbergen,any,,,,,
aktualtać,f,actuality,aktualność,dictionary_steenbergen,any,,,,,
aktuały,adj,actual,aktualny,dictionary_steenbergen,any,latin_learned,actualem,,,
akuratamięć,adv,"precisely, exactly",dokładnie,dictionary_steenbergen,any,,,,,
akuraty,adj,precisely,dokładny,dictionary_steenbergen,any,,,,,
akwadukt,m,aqueduct,akwedukt,dictionary_steenbergen,any,,,,,
alarm,n,alarm,alarm,dictionary_steenbergen,any,,,,,
album,n,album,album,dictionary_steenbergen,any,,,,,
alergia,f. I,allergy,alergia,dictionary_steenbergen,any,,,,,
alergicy,adj,allergic,"alergiczny, uczulony",dictionary_steenbergen,any,,,,,
alfabet,m,alphabet,"alfabet, abecadło",dictionary_steenbergen,any,,,,,
alkohol,m,alcohol,alkohol,dictionary_steenbergen,any,,,,,
alkoholicy,adj,alcoholic,alkoholiczny,dictionary_steenbergen,any,latin_learned,alcoholicum + is,,,
alkoholik,m,alcoholic,alkoholik,dictionary_steenbergen,any,,,,,
"alt, -u",f,alto,alt,dictionary_steenbergen,any,,,,,
alternaciwy,adj,alternative,alternatywny,dictionary_steenbergen,any,,,,,
alumiń,n,aluminium,glin,dictionary_steenbergen,any,,,,,
ambasada,f. I,embassy,ambasada,dictionary_steenbergen,any,,,,,
ambasadórz,m,ambassador,ambasador,dictionary_steenbergen,any,,,,,
ambiceń,f,ambition,ambicja,dictionary_steenbergen,any,,,,,
ambicuzy,adj,ambitious,ambitny,dictionary_steenbergen,any,,,,,
ambulęca,f. I,ambulance,"ambulans, pogotowie",dictionary_steenbergen,any,,,,,
amen,intj,amen,amen,dictionary_steenbergen,any,hebrew,אָמֵן,,,
amerykany,adj,American,amerykański,dictionary_steenbergen,any,,,,,
analiza,f. I,analysis,analiza,dictionary_steenbergen,any,,,,,
analizar,"v, 1",analyse,analizować,dictionary_steenbergen,any,,,,,
anarchista,m. I,anarchist,anarchista,dictionary_steenbergen,any,,,,,
angielki,adj,English,angielski,dictionary_steenbergen,any,,,,,
Anglia,f. I,England,Anglia,dictionary_steenbergen,any,,,,,
anonim,m,anonymous,anonim,dictionary_steenbergen,any,,,,,
